,userId,movieId,rating,timestamp
320057,2187,216,3.0,1996-08-15 18:38:09
9994588,69082,2344,4.0,1998-11-18 09:03:55
3650028,24870,2616,1.0,2006-01-17 12:36:07
17626502,121918,3181,4.0,2011-07-24 03:03:56
14232937,98289,2706,2.0,2008-02-06 21:13:32
10604416,73348,546,3.5,2005-06-25 23:17:49
9058187,62674,1017,4.0,2001-07-12 19:30:34
6228084,42856,494,3.0,1997-06-15 21:44:28
9490826,65644,50,4.5,2005-05-26 19:00:01
3525053,24040,3044,5.0,2000-07-07 20:49:05
11066028,76486,6889,3.5,2010-02-22 03:20:27
1713431,11570,8622,3.0,2010-07-10 02:12:59
15242142,105357,26649,4.5,2009-01-05 13:33:52
5675770,39072,32,5.0,1996-07-29 15:52:14
11657384,80501,2720,2.0,2010-05-08 19:35:23
14157044,97770,1394,5.0,2007-01-07 16:49:29
9518334,65850,1848,3.0,2002-09-21 05:44:43
11271495,77851,1148,5.0,2000-12-09 04:31:58
3615729,24688,5178,2.5,2005-01-30 14:55:47
12891207,89034,8392,3.0,2005-03-07 20:23:45
4187905,28544,2087,3.5,2005-07-28 04:53:39
10273072,71061,54503,3.5,2014-03-06 19:03:12
9593219,66362,5254,3.0,2011-08-13 20:57:52
2945144,20011,1756,2.0,2007-02-06 02:49:17
3234644,22116,1135,3.0,1999-11-12 09:58:59
569474,3821,2959,5.0,2007-01-30 18:36:53
7842582,54095,1916,3.5,2007-02-01 17:54:31
6671639,45941,2361,0.5,2004-09-19 20:55:30
8859567,61213,4054,1.5,2014-11-12 10:00:53
18614219,128849,1183,3.0,1999-10-01 18:23:08
15768625,109050,5679,4.0,2010-06-29 13:03:21
17730277,122587,6791,3.5,2015-03-22 22:20:01
12412112,85731,57669,4.5,2009-05-27 19:50:54
7761595,53515,6166,2.0,2007-01-11 05:26:52
17165051,118754,1095,4.5,2007-05-23 04:49:27
18091433,125137,2687,2.0,2008-03-27 17:42:02
2569608,17419,592,4.0,1996-09-10 10:41:05
2478650,16773,2628,2.5,2009-05-27 15:03:25
15596938,107861,2413,3.5,2006-03-30 07:24:44
2695751,18288,218,2.5,2004-05-13 00:41:20
1795385,12131,8916,2.0,2005-05-04 08:11:41
9229796,63799,1625,4.0,2003-02-27 02:00:33
14533396,100410,361,3.0,1999-12-13 04:53:52
10435304,72165,788,3.0,1996-11-08 18:54:05
17760298,122790,4776,4.0,2007-08-06 22:34:53
819670,5466,7080,4.0,2005-11-05 11:08:05
14365838,99254,47221,1.5,2009-11-28 17:36:26
15290529,105673,724,3.0,2001-07-08 03:47:55
1125021,7671,34,2.5,2011-03-02 08:19:04
14378819,99347,2990,2.0,2000-12-19 07:20:05
17434788,120575,76862,2.5,2013-12-16 19:41:26
12559508,86760,52281,4.0,2008-07-10 18:35:01
6137901,42256,57910,4.0,2008-05-18 20:48:50
14591246,100781,8608,4.0,2005-09-05 12:42:29
1830954,12363,6879,4.5,2004-04-12 01:24:27
16752724,115871,193,4.0,2002-08-31 06:13:26
5998711,41293,2436,1.0,2000-11-25 23:24:53
8931257,61728,103075,3.5,2013-11-05 05:48:46
7313210,50453,6807,4.5,2005-03-25 12:12:28
5072437,34777,150,4.5,2011-11-07 22:33:29
9231493,63806,2329,5.0,2008-03-12 18:29:21
